Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S65738094,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10541695,"S2-StMaria, Provincia de Puntarenas, CR (9,276, -83,371)",9.2761099,-83.370737,2020-03-13,06:18 AM,eBird - Traveling Count,11,1,1.11,,1
S68658945,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L10541695,"S2-StMaria, Provincia de Puntarenas, CR (9,276, -83,371)",9.2761099,-83.370737,2020-05-09,06:45 AM,eBird - Stationary Count,2,1,,,1
S68838224,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-SJ,,L8453492,"San Gerardo Rivas, San José, CR (9.468, -83.585)",9.4683876,-83.5853122,2020-04-19,01:20 PM,eBird - Traveling Count,173,1,5.58,,1
S68210096,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-SJ,,L8453492,"San Gerardo Rivas, San José, CR (9.468, -83.585)",9.4683876,-83.5853122,2020-04-26,01:07 PM,eBird - Traveling Count,181,1,5.65,,1
S68838226,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L8453492,"San Gerardo Rivas, San José, CR (9.468, -83.585)",9.4683876,-83.5853122,2020-05-03,04:14 PM,eBird - Traveling Count,76,1,2.87,,1
S70744311,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-SJ,,L4878740,San Gerardo de Rivas--Herradura,9.4809259,-83.6121798,2020-05-31,10:54 AM,eBird - Traveling Count,175,1,8.66,,2
S69974106,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L8086281,"San Gerardo, San José Province, CR (9,467, -83,595)",9.466866,-83.5946921,2020-05-25,06:52 AM,eBird - Stationary Count,120,1,,,1
S62448451,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L7953737,"San Gerardos Birds, San Gerardo de Rivas Perez Zeledon, San José, CR (9,471, -83,583)",9.4707285,-83.5834786,2019-12-10,06:30 AM,eBird - Stationary Count,154,1,,,2
S62448452,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-SJ,,L7953737,"San Gerardos Birds, San Gerardo de Rivas Perez Zeledon, San José, CR (9,471, -83,583)",9.4707285,-83.5834786,2019-12-11,04:12 PM,eBird - Stationary Count,120,1,,,2
S70744268,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L7953737,"San Gerardos Birds, San Gerardo de Rivas Perez Zeledon, San José, CR (9,471, -83,583)",9.4707285,-83.5834786,2020-06-09,06:55 AM,eBird - Stationary Count,90,0,,,1
